include,part,function_name,order,required,argument,argument_list,default,ui,choices,range,validation,validation_args,transformation,transformation_args,design_changes,description,note
TRUE,ui,actionBttn,3,,icon,,NULL,pickerInput,icons,,,,.to_icon,,,An optional icon to appear on the button.,
TRUE,ui,actionBttn,4,,style,,unite,selectInput,styles,,,,.to_string,,,"Style of the button, to choose between simple, bordered, minimal, stretch, jelly, gradient, fill, material-circle, material-flat, pill, float, unite.",
TRUE,ui,actionBttn,5,,color,,default,selectInput,colors,,,,.to_string,,,"Color of the button : default, primary, warning, danger, success, royal.",
TRUE,ui,actionBttn,6,,size,,md,selectInput,bs_sizes,,,,.to_string,,,"Size of the button : xs,sm, md, lg.",
TRUE,ui,actionBttn,7,,block,,FALSE,checkboxInput,,,,,,,bttn_block,"Logical, full width button.",
TRUE,ui,actionBttn,8,,no_outline,,TRUE,checkboxInput,,,,,,,,"Logical, dont show outline when navigating with keyboard/interact using mouse or touch.",
TRUE,ui,actionButton,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,actionButton,2,TRUE,label,,label,textInput,,,,,.to_string,,,"The contents of the button or link--usually a text label, but you could also use any other HTML, like an image.",
TRUE,ui,actionButton,3,,icon,,NULL,pickerInput,icons,,,,.to_icon,,,An optional icon() to appear on the button.,
TRUE,ui,actionButton,4,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit,"The width of the input, e.g. 400px, or 100%; see validateCssUnit().",
FALSE,ui,actionButton,5,,,,,,,,,,,,,Named attributes to be applied to the button or link.,
TRUE,ui,actionGroupButtons,1,TRUE,inputIds,,a,selectizeInput,,,".validate_inputId_vector;
.validate_same_length","list(allow_NULL=FALSE);
list(compare_to='labels')",.to_string_vector,"list(with_NULL=TRUE, regex='id')",,"The inputs slot that will be used to access the value, one for each button.",
TRUE,ui,actionGroupButtons,2,TRUE,labels,,a,selectizeInput,,,.validate_same_length,list(compare_to='inputIds'),.to_string_vector,,,"Labels for each buttons, must have same length as inputIds.",
TRUE,ui,actionGroupButtons,3,,status,,NULL,selectInput,validStatuses,,,,.to_string,,,"Add a class to the buttons, you can use Bootstrap status like info, primary, danger, warning or success. Or use an arbitrary strings to add a custom class, e.g. : with status = myClass, buttons will have class btn-myClass.",
TRUE,ui,actionGroupButtons,4,,size,,normal,selectInput,sw_sizes,,,,.to_string,,,"Size of the buttons (xs, sm, normal, lg).",
TRUE,ui,actionGroupButtons,5,,direction,,horizontal,selectInput,directions,,,,.to_string,,,Horizontal or vertical.,
TRUE,ui,actionGroupButtons,6,,fullwidth,,FALSE,checkboxInput,,,,,,,,"If TRUE, fill the width of the parent div.",
TRUE,ui,actionLink,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,actionLink,2,TRUE,label,,label,textInput,,,,,.to_string,,,"The contents of the button or link--usually a text label, but you could also use any other HTML, like an image.",
TRUE,ui,actionLink,3,,icon,,NULL,pickerInput,icons,,,,.to_icon,,,An optional icon() to appear on the button.,
FALSE,ui,actionLink,4,,,,,,,,,,,,,Named attributes to be applied to the button or link.,
TRUE,ui,airDatepickerInput,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,airDatepickerInput,2,,label,,label,textInput,,,,,.to_string,,,"Display label for the control, or NULL for no label.",
TRUE,ui,airDatepickerInput,3,,value,,NULL,textInput,,,.validate_date,,.to_string,,,"Initial value(s), dates as character string are accepted in yyyy-mm-dd format, or Date/POSIXct object. Can be a single value or several values.",
FALSE,ui,airDatepickerInput,4,,multiple,,FALSE,checkboxInput,,,,,,,,"Select multiple dates. If TRUE, then one can select unlimited dates. If numeric is passed, then amount of selected dates will be limited by it.",
FALSE,ui,airDatepickerInput,5,,range,,FALSE,checkboxInput,,,,,,,,Select a date range.,
TRUE,ui,airDatepickerInput,6,,timepicker,,FALSE,checkboxInput,,,,,,,,Add a timepicker below calendar to select time.,
FALSE,ui,airDatepickerInput,7,,separator,, - ,textInput,,,,,.to_string,,,"Separator between dates when several are selected, default to  - .",
TRUE,ui,airDatepickerInput,8,,placeholder,,NULL,textInput,,,,,.to_string,,,A character string giving the user a hint as to what can be entered into the control.,
TRUE,ui,airDatepickerInput,9,,dateFormat,,yyyy-mm-dd,textInput,,,,,.to_string,,,"Format to use to display date(s), default to yyyy-mm-dd.",
TRUE,ui,airDatepickerInput,10,,firstDay,,0,selectInput,weekstart,,,,.to_string,,,"Day index from which week will be started. Possible values are from 0 to 6, where 0 - Sunday and 6 - Saturday. By default value is taken from current localization, but if it passed here then it will have higher priority.",
TRUE,ui,airDatepickerInput,11,,minDate,,NULL,textInput,,,.validate_date,,.to_string,,,"The minimum allowed date. Either a Date object, or a string in yyyy-mm-dd format.",
TRUE,ui,airDatepickerInput,12,,maxDate,,NULL,textInput,,,.validate_date,,.to_string,,,"The maximum allowed date. Either a Date object, or a string in yyyy-mm-dd format.",
FALSE,ui,airDatepickerInput,13,,disabledDates,,NULL,,,,,,,,,"A vector of dates to disable, e.g. wont be able to select one of dates passed.",
TRUE,ui,airDatepickerInput,14,,view,,days,selectInput,views,,,,.to_string,,,"Starting view, one of days (default), months or years.",
TRUE,ui,airDatepickerInput,15,,startView,,days,selectInput,views,,,,.to_string,,,Date shown in calendar when date picker is opened.,
TRUE,ui,airDatepickerInput,16,,minView,,days,selectInput,views,,,,.to_string,,,"Minimal view, one of days (default), months or years.",
TRUE,ui,airDatepickerInput,17,,monthsField,,monthsShort,selectInput,monthsField,,,,.to_string,,,"Names for the months when view is months, use monthsShort for abbreviations or months for full names.",
TRUE,ui,airDatepickerInput,18,,clearButton,,FALSE,checkboxInput,,,,,,,,"If TRUE, then button Clear will be visible.",
TRUE,ui,airDatepickerInput,19,,todayButton,,FALSE,checkboxInput,,,,,,,,"If TRUE, then button Today will be visible to set view to current date, if a Date is used, it will set view to the given date and select it.",
TRUE,ui,airDatepickerInput,20,,autoClose,,FALSE,checkboxInput,,,,,,,,"If TRUE, then after date selection, datepicker will be closed.",
FALSE,ui,airDatepickerInput,21,,timepickerOpts,,timepickerOptions(),,,,,,,,,"Options for timepicker, see timepickerOptions.",
TRUE,ui,airDatepickerInput,22,,position,,bottom left,selectInput,positions_2,,,,.to_string,,,"Where calendar should appear, a two word string like bottom left (default), or top right, left top.",
TRUE,ui,airDatepickerInput,23,,update_on,,change,selectInput,update_on_2,,,,.to_string,,,When to send selected value to server: on change or when calendar is closed.,
TRUE,ui,airDatepickerInput,24,,addon,,right,selectInput,addon,,,,.to_string,,,"Display a calendar icon to right or the left of the widget, or none. This icon act likes an actionButton, you can retrieve value server-side with input$<inputId>_button.",
TRUE,ui,airDatepickerInput,25,,language,,en,selectInput,language_2,,,,.to_string,,,"Language to use, can be one of cs, da, de, en, es, fi, fr, hu, nl, pl, pt-BR, pt, ro, ru, sk, zh, ja.",
TRUE,ui,airDatepickerInput,26,,inline,,FALSE,checkboxInput,,,,,,,,"If TRUE, datepicker will always be visible.",
FALSE,ui,airDatepickerInput,27,,onlyTimepicker,,FALSE,checkboxInput,,,,,,,,Display only the time picker.,
TRUE,ui,airDatepickerInput,28,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit,"The width of the input, e.g. 400px, or 100%.",
,ui,airDatepickerInput,29,,dateTimeSeparator,timepickerOpts,NULL,textInput,,,,,,,,"Separator between date and time, default to an empty space.",
,ui,airDatepickerInput,30,,timeFormat,timepickerOpts,NULL,textInput,,,,,,,,"Desirable time format. You can use h (hours), hh (hours with leading zero), i (minutes), ii (minutes with leading zero), aa (day period - am or pm), AA (day period capitalized)",
,ui,airDatepickerInput,31,,minHours,timepickerOpts,NULL,numericInput,,"0,23,1",,,,,,"Minimal hours value, must be between 0 and 23. You will not be able to choose value lower than this.",
,ui,airDatepickerInput,32,,maxHours,timepickerOpts,NULL,numericInput,,"0,23,1",,,,,,"Maximum hours value, must be between 0 and 23. You will not be able to choose value higher than this.",
,ui,airDatepickerInput,33,,minMinutes,timepickerOpts,NULL,numericInput,,"0,59,1",,,,,,"Minimal minutes value, must be between 0 and 59. You will not be able to choose value lower than this.",
,ui,airDatepickerInput,34,,maxMinutes,timepickerOpts,NULL,numericInput,,"0,59,1",,,,,,"Maximum minutes value, must be between 0 and 59. You will not be able to choose value higher than this.",
,ui,airDatepickerInput,35,,hoursStep,timepickerOpts,NULL,numericInput,,"0,23,1",,,,,,Hours step in slider.,
,ui,airDatepickerInput,36,,minutesStep,timepickerOpts,NULL,numericInput,,"0,59,1",,,,,,Minutes step in slider.,
TRUE,ui,awesomeCheckbox,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,awesomeCheckbox,2,TRUE,label,,label,textInput,,,,,.to_string,,,Input label.,
TRUE,ui,awesomeCheckbox,3,,value,,FALSE,checkboxInput,,,,,,,,Initial value (TRUE or FALSE).,
TRUE,ui,awesomeCheckbox,4,,status,,primary,selectInput,validStatuses,,,,.to_string,,,"Color of the buttons, a valid Bootstrap status : default, primary, info, success, warning, danger.",
TRUE,ui,awesomeCheckbox,5,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit_top,The width of the input,
TRUE,ui,awesomeCheckboxGroup,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,awesomeCheckboxGroup,2,TRUE,label,,label,textInput,,,,,.to_string,,,Input label.,
TRUE,ui,awesomeCheckboxGroup,3,TRUE,choices,,example,selectizeInput,,,,,.to_string_vector,,,List of values to show checkboxes for.,
TRUE,ui,awesomeCheckboxGroup,4,,selected,,NULL,selectizeInput,sqs_option_ui_choices,,,,.to_string_vector,,,"The values that should be initially selected, if any.",
TRUE,ui,awesomeCheckboxGroup,5,,inline,,FALSE,checkboxInput,,,,,,,,"If TRUE, render the choices inline (i.e. horizontally)",
TRUE,ui,awesomeCheckboxGroup,6,,status,,primary,selectInput,validStatuses,,,,.to_string,,,Color of the buttons,
TRUE,ui,awesomeCheckboxGroup,7,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit_top,The width of the input,
TRUE,ui,awesomeRadio,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,awesomeRadio,2,TRUE,label,,label,textInput,,,,,.to_string,,,"Display label for the control, or NULL for no label.",
TRUE,ui,awesomeRadio,3,TRUE,choices,,example,selectizeInput,,,,,.to_string_vector,,,List of values to select from (if elements of the list are named then that name rather than the value is displayed to the user),
TRUE,ui,awesomeRadio,4,,selected,,NULL,selectInput,sqs_option_ui_choices,,,,.to_string,,,The initially selected value (if not specified then defaults to the first value).,
TRUE,ui,awesomeRadio,5,,inline,,FALSE,checkboxInput,,,,,,,,"If TRUE, render the choices inline (i.e. horizontally).",
TRUE,ui,awesomeRadio,6,,status,,primary,selectInput,validStatuses,,,,.to_string,,,"Color of the buttons, a valid Bootstrap status : default, primary, info, success, warning, danger.",
TRUE,ui,awesomeRadio,7,,checkbox,,FALSE,checkboxInput,,,,,,,,"Logical, render radio like checkboxes (with a square shape).",
TRUE,ui,awesomeRadio,8,,width,,NULL,textInput,,,,,.to_string,,width_css_unit,"The width of the input, e.g. 400px, or 100%.",
TRUE,ui,bootstrapPage,1,,title,,NULL,textInput,,,,,.to_string,,,The browser window title (defaults to the host URL of the page),
FALSE,ui,bootstrapPage,2,,responsive,,NULL,,,,,,,,,This option is deprecated; it is no longer optional with Bootstrap 3.,
FALSE,ui,bootstrapPage,3,,theme,,NULL,,,,,,,,,"Alternative Bootstrap stylesheet (normally a css file within the www directory, e.g. www/bootstrap.css)",
FALSE,ui,bootstrapPage,4,,,,,,,,,,,,,The contents of the document body.,
TRUE,ui,box,1,,title,,NULL,textInput,,,,,.to_string,,,Optional title.,
TRUE,ui,box,2,,footer,,NULL,textInput,,,,,.to_string,,,Optional footer text.,
TRUE,ui,box,3,,status,,NULL,selectInput,validStatuses,,,,.to_string,,,The status of the item This determines the items background color. Valid statuses are listed in validStatuses.,
TRUE,ui,box,4,,solidHeader,,FALSE,checkboxInput,,,,,,,,Should the header be shown with a solid color background?,
TRUE,ui,box,5,,background,,NULL,selectInput,validColors,,,,.to_string,,,"If NULL (the default), the background of the box will be white. Otherwise, a color string. Valid colors are listed in validColors.",
TRUE,ui,box,6,,width,,6,numericInput,,"1,12,1",.validate_numeric_range,,.to_numeric,,width_column,"The width of the box, using the Bootstrap grid system. This is used for row-based layouts. The overall width of a region is 12, so the default valueBox width of 4 occupies 1/3 of that width. For column-based layouts, use NULL for the width; the width is set by the column that contains the box.",
TRUE,ui,box,7,,height,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,"The height of a box, in pixels or other CSS unit. By default the height scales automatically with the content.",
TRUE,ui,box,8,,collapsible,,FALSE,checkboxInput,,,,,,,,"If TRUE, display a button in the upper right that allows the user to collapse the box.",
TRUE,ui,box,9,,collapsed,,FALSE,checkboxInput,,,,,,,,"If TRUE, start collapsed. This must be used with collapsible=TRUE.",
FALSE,ui,box,10,,,,,,,,,,,,,Contents of the box.,
TRUE,ui,checkboxGroupButtons,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,checkboxGroupButtons,2,,label,,NULL,textInput,,,,,.to_string,,,Input label.,
TRUE,ui,checkboxGroupButtons,3,,choices,,NULL,selectizeInput,,,,,.to_string_vector,,,List of values to select from (if elements of the list are named then that name rather than the value is displayed to the user),
TRUE,ui,checkboxGroupButtons,4,,selected,,NULL,selectInput,sqs_option_ui_choices,,,,.to_string,,,The initially selected value.,
TRUE,ui,checkboxGroupButtons,5,,status,,default,selectInput,validStatuses,,,,.to_string,,,"Add a class to the buttons, you can use Bootstrap status like info, primary, danger, warning or success. Or use an arbitrary strings to add a custom class, e.g. : with status = myClass, buttons will have class btn-myClass.",
TRUE,ui,checkboxGroupButtons,6,,size,,normal,selectInput,sw_sizes,,,,.to_string,,,"Size of the buttons (xs, sm, normal, lg)",
TRUE,ui,checkboxGroupButtons,7,,direction,,horizontal,selectInput,directions,,,,.to_string,,,Horizontal or vertical.,
TRUE,ui,checkboxGroupButtons,8,,justified,,FALSE,checkboxInput,,,,,,,,"If TRUE, fill the width of the parent div.",
TRUE,ui,checkboxGroupButtons,9,,individual,,FALSE,checkboxInput,,,,,,,,"If TRUE, buttons are separated.",
FALSE,ui,checkboxGroupButtons,10,,checkIcon,,list(),,,,,,.to_string,,,"A list, if no empty must contain at least one element named yes corresponding to an icon to display if the button is checked.",
TRUE,ui,checkboxGroupButtons,11,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit_top,"The width of the input, e.g. 400px, or 100%.",
FALSE,ui,checkboxGroupButtons,12,,choiceNames,,NULL,,,,,,,,,"Same as in checkboxGroupInput. List of names and values, respectively, that are displayed to the user in the app and correspond to the each choice (for this reason, choiceNames and choiceValues must have the same length).",
FALSE,ui,checkboxGroupButtons,13,,choiceValues,,NULL,,,,,,,,,"Same as in checkboxGroupInput. List of names and values, respectively, that are displayed to the user in the app and correspond to the each choice (for this reason, choiceNames and choiceValues must have the same length).",
TRUE,ui,checkboxGroupButtons,14,,disabled,,FALSE,checkboxInput,,,,,,,,Initialize buttons in a disabled state (users wont be able to select a value).,
TRUE,ui,checkboxGroupInput,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,checkboxGroupInput,2,TRUE,label,,label,textInput,,,,,.to_string,,,"Display label for the control, or NULL for no label.",
TRUE,ui,checkboxGroupInput,3,,choices,,NULL,selectizeInput,,,,,.to_string_vector,,,"List of values to show checkboxes for. If elements of the list are named then that name rather than the value is displayed to the user. If this argument is provided, then choiceNames and choiceValues must not be provided, and vice-versa. The values should be strings; other types (such as logicals and numbers) will be coerced to strings.",
TRUE,ui,checkboxGroupInput,4,,selected,,NULL,selectizeInput,sqs_option_ui_choices,,,,.to_string_vector,,,"The values that should be initially selected, if any.",
TRUE,ui,checkboxGroupInput,5,,inline,,FALSE,checkboxInput,,,,,,,,"If TRUE, render the choices inline (i.e. horizontally)",
TRUE,ui,checkboxGroupInput,6,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit,"The width of the input, e.g. 400px, or 100%; see validateCssUnit().",
FALSE,ui,checkboxGroupInput,7,,choiceNames,,NULL,selectizeInput,,,,,.to_string_vector,,,"List of names and values, respectively, that are displayed to the user in the app and correspond to the each choice (for this reason, choiceNames and choiceValues must have the same length). If either of these arguments is provided, then the other must be provided and choices must not be provided. The advantage of using both of these over a named list for choices is that choiceNames allows any type of UI object to be passed through (tag objects, icons, HTML code, ...), instead of just simple text.",
FALSE,ui,checkboxGroupInput,8,,choiceValues,,NULL,selectizeInput,,,,,.to_string_vector,,,"ist of names and values, respectively, that are displayed to the user in the app and correspond to the each choice (for this reason, choiceNames and choiceValues must have the same length). If either of these arguments is provided, then the other must be provided and choices must not be provided. The advantage of using both of these over a named list for choices is that choiceNames allows any type of UI object to be passed through (tag objects, icons, HTML code, ...), instead of just simple text.",
TRUE,ui,checkboxInput,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,checkboxInput,2,TRUE,label,,label,textInput,,,,,.to_string,,,"Display label for the control, or NULL for no label.",
TRUE,ui,checkboxInput,3,,value,,FALSE,checkboxInput,,,,,,,,Initial value (TRUE or FALSE).,
TRUE,ui,checkboxInput,4,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit,"The width of the input, e.g. 400px, or 100%; see validateCssUnit().",
TRUE,ui,colorSelectorInput,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,colorSelectorInput,2,TRUE,label,,label,textInput,,,,,.to_string,,,"Display label for the control, or NULL for no label.",
TRUE,ui,colorSelectorInput,3,TRUE,choices,,"c('steelblue', 'cornflowerblue', 'firebrick', 'palegoldenrod',  'forestgreen')",selectizeInput,,,,,.to_string_vector,,,"A list of colors, can be a list of named list, see example.",
TRUE,ui,colorSelectorInput,4,,selected,,NULL,selectInput,sqs_option_ui_choices,,,,.to_string,,,"Default selected color, if NULL the first color for mode = radio and none for mode = checkbox",
TRUE,ui,colorSelectorInput,5,,mode,,radio,selectInput,modes,,,,.to_string,,,"radio for only one choice, checkbox for selecting multiple values.",
TRUE,ui,colorSelectorInput,6,,display_label,,FALSE,checkboxInput,,,,,,,,Display lists names after palette of color.,
TRUE,ui,colorSelectorInput,7,,ncol,,10,numericInput,,,,,.to_numeric,,,"If choices is not a list but a vector, go to line after n elements.",
TRUE,ui,column,1,TRUE,width,,6,numericInput,,"1,12,1",.validate_numeric_range,,.to_numeric,,"width_column,offset_column",The grid width of the column (must be between 1 and 12),
TRUE,ui,column,2,,offset,,0,numericInput,,"0,11,1",.validate_numeric_range,,.to_numeric,,,Elements to include within the column,
FALSE,ui,column,3,,,,,,,,,,,,,The number of columns to offset this column from the end of the previous column.,
TRUE,ui,currencyInput,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,currencyInput,2,TRUE,label,,label,textInput,,,,,.to_string,,,"Display label for the control, or NULL for no label.",
TRUE,ui,currencyInput,3,TRUE,value,,0,numericInput,,,,,.to_numeric,,,Initial value (unformatted).,
TRUE,ui,currencyInput,4,,format,,euro,selectInput,currency_format,,,,.to_string,,,A character string specifying the currency format of the input. See Details for possible values.,
TRUE,ui,currencyInput,5,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit,"The width of the input box, eg. 200px or 100%.",
TRUE,ui,currencyInput,6,,align,,center,selectInput,alignment,,,,.to_string,,,"The alignment of the text inside the input box, one of center, left, right. Defaults to center.",
FALSE,ui,dashboardBody,1,,,,,,,,,,,,,Items to put in the dashboard body.,
TRUE,ui,dashboardHeader,1,,title,,NULL,textInput,,,,,.to_string,,,"An optional title to show in the header bar.. By default, this will also be used as the title shown in the browsers title bar. If you want that to be different from the text in the dashboard header bar, set the title in dashboardPage.",
TRUE,ui,dashboardHeader,2,,titleWidth,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,"The width of the title area. This must either be a number which specifies the width in pixels, or a string that specifies the width in CSS units.",
TRUE,ui,dashboardHeader,3,,disable,,FALSE,checkboxInput,,,,,,,,"If TRUE, dont display the header bar.",
FALSE,ui,dashboardHeader,4,,.list,,NULL,,,,,,,,,"An optional list containing items to put in the header. Same as the ... arguments, but in list format. This can be useful when working with programmatically generated items.",
FALSE,ui,dashboardHeader,5,,,,,,,,,,,,,Items to put in the header. Should be dropdownMenus.,
FALSE,ui,dashboardPage,1,TRUE,header,,,,,,,,,,,A header created by dashboardHeader.,
FALSE,ui,dashboardPage,2,TRUE,sidebar,,,,,,,,,,,A sidebar created by dashboardSidebar.,
FALSE,ui,dashboardPage,3,TRUE,body,,,,,,,,,,,A body created by dashboardBody.,
TRUE,ui,dashboardPage,4,,title,,NULL,textInput,,,,,.to_string,,,"A title to display in the browsers title bar. If no value is provided, it will try to extract the title from the dashboardHeader.",
TRUE,ui,dashboardPage,5,,skin,,blue,selectInput,skin,,,,.to_string,,,"A color theme. One of blue, black, purple, green, red, or yellow.",
FALSE,ui,dashboardSidebar,1,,disable,,FALSE,checkboxInput,,,,,,,,"If TRUE, the sidebar will be disabled.",
TRUE,ui,dashboardSidebar,2,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,"The width of the sidebar. This must either be a number which specifies the width in pixels, or a string that specifies the width in CSS units.",
TRUE,ui,dashboardSidebar,3,,collapsed,,FALSE,checkboxInput,,,,,,,,"If TRUE, the sidebar will be collapsed on app startup.",
FALSE,ui,dashboardSidebar,4,,,,,,,,,,,,,Items to put in the sidebar.,
TRUE,ui,dataTableOutput,1,,outputId,,,textInput,,,.validate_outputId,,.to_string,,,output variable to read the table from,
TRUE,ui,dateInput,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,dateInput,2,TRUE,label,,label,textInput,,,,,.to_string,,,"Display label for the control, or NULL for no label.",
TRUE,ui,dateInput,3,,value,,NULL,textInput,,,.validate_date,,.to_string,,,"The starting date. Either a Date object, or a string in yyyy-mm-dd format. If NULL (the default), will use the current date in the clients time zone.",
TRUE,ui,dateInput,4,,min,,NULL,textInput,,,.validate_date,,.to_string,,,"The minimum allowed date. Either a Date object, or a string in yyyy-mm-dd format.",
TRUE,ui,dateInput,5,,max,,NULL,textInput,,,.validate_date,,.to_string,,,"The maximum allowed date. Either a Date object, or a string in yyyy-mm-dd format.",
TRUE,ui,dateInput,6,,format,,yyyy-mm-dd,textInput,,,,,.to_string,,,The format of the date to display in the browser. Defaults to yyyy-mm-dd.,
TRUE,ui,dateInput,7,,startview,,month,selectInput,startview,,,,.to_string,,,"The date range shown when the input object is first clicked. Can be month (the default), year, or decade.",
TRUE,ui,dateInput,8,,weekstart,,0,selectInput,weekstart,,,,.to_numeric,,,Which day is the start of the week. Should be an integer from 0 (Sunday) to 6 (Saturday).,
TRUE,ui,dateInput,9,,language,,en,pickerInput,language,,,,.to_string,,,"The language used for month and day names. Default is en. Other valid values include ar, az, bg, bs, ca, cs, cy, da, de, el, en-AU, en-GB, eo, es, et, eu, fa, fi, fo, fr-CH, fr, gl, he, hr, hu, hy, id, is, it-CH, it, ja, ka, kh, kk, ko, kr, lt, lv, me, mk, mn, ms, nb, nl-BE, nl, no, pl, pt-BR, pt, ro, rs-latin, rs, ru, sk, sl, sq, sr-latin, sr, sv, sw, th, tr, uk, vi, zh-CN, and zh-TW.",
TRUE,ui,dateInput,10,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit,"The width of the input, e.g. 400px, or 100%; see validateCssUnit().",
TRUE,ui,dateInput,11,,autoclose,,TRUE,checkboxInput,,,,,,,,Whether or not to close the datepicker immediately when a date is selected.,
FALSE,ui,dateInput,12,,datesdisabled,,NULL,selectizeInput,,,,,.to_string_vector,,,"Which dates should be disabled. Either a Date object, or a string in yyyy-mm-dd format.",
TRUE,ui,dateInput,13,,daysofweekdisabled,,NULL,selectizeInput,weekstart,,,,.to_numeric_vector,,,Days of the week that should be disabled. Should be a integer vector with values from 0 (Sunday) to 6 (Saturday).,
TRUE,ui,dateRangeInput,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,dateRangeInput,2,TRUE,label,,label,textInput,,,,,.to_string,,,"Display label for the control, or NULL for no label.",
TRUE,ui,dateRangeInput,3,,start,,NULL,textInput,,,.validate_date,,.to_string,,,"The initial start date. Either a Date object, or a string in yyyy-mm-dd format. If NULL (the default), will use the current date in the clients time zone.",
TRUE,ui,dateRangeInput,4,,end,,NULL,textInput,,,.validate_date,,.to_string,,,"The initial end date. Either a Date object, or a string in yyyy-mm-dd format. If NULL (the default), will use the current date in the clients time zone.",
